relative_path;date;year;series_id;family;regimen_gy;dose_sum_gy;dose2_sum_gy2;n_animals;control_file;control_match;nearest_control;nearest_control_gap_days;duplicate_of;data_quality_note;included_analysis;included_strict;exclusion_reason;sf_eff;sf_time_day;sf_se;sf_ci_low;sf_ci_high;sf_bootstrap_success;aligned_time_points
27.01.2016_y_30.xlsx;2016-01-27;2016;2016-01-27;y;30;30.0;900.0;8;control_13.01.2016.xlsx;explicit_date_map;control_13.01.2016.xlsx;14;;;1;1;;0.09314595741331683;20.0;0.03468391642703971;0.04307215616648379;0.17399129489783624;500;11
29.11.2019_c_12.xlsx;2019-11-29;2019;2019-11-29;c;14;14.0;196.0;9;control_16.05.2018.xlsx;nearest_available_proxy;control_16.05.2018.xlsx;562;;nearest_date_proxy_control;1;0;;0.16199485251178133;21.0;0.023798133869498927;0.120033728833403;0.21346659105678742;500;9
2_11.04.2016_с_12.xlsx;2016-04-11;2016;2016-04-11;c;25;25.0;625.0;7;control_11.04.2016_c12.xlsx;same_date;control_11.04.2016_c12.xlsx;0;;;1;1;;0.07334415404337413;25.0;0.021676605000115236;0.03187094996068493;0.11498191854400022;500;11
2_12.12.2016_c_12.xlsx;2016-12-12;2016;2016-12-12;c;12;12.0;144.0;8;control_29.09.2016.xlsx;nearest_available_proxy;control_29.09.2016.xlsx;74;;nearest_date_proxy_control;1;0;;0.23772050602794143;22.0;0.04950248543173788;0.1485200315775673;0.3328683206370342;500;10
2_27.03.2017_с_12.xlsx;2017-03-27;2017;2017-03-27;c;27;27.0;729.0;6;control_04.05.2017.xlsx;nearest_available_proxy;control_04.05.2017.xlsx;38;;nearest_date_proxy_control;1;0;;0.06790520956913049;13.0;0.010724988623846576;0.0438992151184488;0.08453265871704224;500;11
3.12.2025_p23_p23_in_peak.xlsx;2025-12-03;2025;2025-12-03;p_peak;23+23;46.0;1058.0;8;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;16;;nearest_date_proxy_control;1;0;;0.026343015230644407;22.0;0.01167859917489954;0.004558942556407256;0.050966117005258105;500;11
30.03.2022_p_36_прострел.xlsx;2022-03-30;2022;2022-03-30;p_through;36;36.0;1296.0;6;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;1328;;nearest_date_proxy_control;1;0;;0.016637696112744894;13.0;0.0032490858980378165;0.010568074936570946;0.023377191469906584;500;10
p_36_in_peak_02.07.2025.xlsx;2025-07-02;2025;2025-07-02;p_peak;36;36.0;1296.0;8;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;138;;nearest_date_proxy_control;1;0;;0.01374821296422175;16.0;0.004591276609562147;0.005676707483427479;0.024063595135021324;500;11
p_36_in_peak_19.06.2024.xlsx;2024-06-19;2024;2024-06-19;p_peak;36;36.0;1296.0;8;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;516;;nearest_date_proxy_control;1;0;;0.02071627185653975;19.0;0.004727345212314063;0.013313787185663813;0.030725090101238174;500;11
p_36_in_peak_21.10.2024.xlsx;2024-10-21;2024;2024-10-21;p_peak;36;36.0;1296.0;6;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;392;;nearest_date_proxy_control;1;0;;0.007253078287674027;14.0;0.0018363832620213987;0.003954294074649555;0.010700409054870892;500;12
p_40_in_peak_02.07.2025.xlsx;2025-07-02;2025;2025-07-02;p_peak;40;40.0;1600.0;8;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;138;;nearest_date_proxy_control;1;0;;0.025256106196011582;19.0;0.012767115443381515;0.004682688680391171;0.05438726971767815;500;11
skin_reactions_24.03.2026_n2.36_p18.8_n2.36_p18.8_in_peak.xlsx;;unknown;unknown;;;;;0;;;;;;;0;0;skin_endpoint_not_tumor_volume;;;;;;0;0
skin_reactions_24.03.2026_p18.8_n2.36_p18.8_n2.36_in_peak.xlsx;;unknown;unknown;;;;;0;;;;;;;0;0;skin_endpoint_not_tumor_volume;;;;;;0;0
y_36_16.10.2024.xlsx;2024-10-16;2024;2024-10-16;y;36;36.0;1296.0;6;control_17.11.2025.xlsx;nearest_available_proxy;control_17.11.2025.xlsx;397;16.10.2024_y_36.xlsx;nearest_date_proxy_control;0;0;exact_duplicate_file;;;;;;0;0
