voxel_id,dose_gy,let_kev_um,alpha,beta,sf,bed
9315642,15.823436141421054,0.0,0.1,0.02,0.0013740863512037198,65.89966240574705
9315643,15.902685875063431,0.0,0.1,0.02,0.0012963833262922958,66.48176948325182
9315644,15.890558691623495,0.0,0.1,0.02,0.001308003984365247,66.39252979800969
9315645,16.18189312170384,0.0,0.1,0.02,0.00105389483359365,68.55262612215306
9315646,16.271577873655005,0.0,0.1,0.02,0.0009854198959397826,69.22442717333882
9315647,16.22194102980782,0.0,0.1,0.02,0.001022789563478975,68.8522151847203
9315926,15.599506289065006,0.0,0.1,0.02,0.0016175501003007596,64.26842558158074
9315927,15.706958774893286,0.0,0.1,0.02,0.0014961397969850121,65.04866956613272
9315928,16.14043507599057,0.0,0.1,0.02,0.0010870187774335415,68.24316396444392
9315929,16.032418535118573,0.0,0.1,0.02,0.0011779133713415682,67.44010735216129
9315930,15.950630553779462,0.0,0.1,0.02,0.0012513712153264277,66.83515356641205
9315931,15.969244370222157,0.0,0.1,0.02,0.0012342895320383344,66.97259752139657
9315932,16.11223232380467,0.0,0.1,0.02,0.0011101014832278983,68.03303841505587
9316210,16.09841297523358,0.0,0.1,0.02,0.0011215772740762982,67.93019303946735
9316211,16.361262625606166,0.0,0.1,0.02,0.000921097598997849,69.8994455664176
9316212,17.061254934860205,0.0,0.1,0.02,0.0005378913915997022,75.27853892531854
9316213,17.151221714333225,0.0,0.1,0.02,0.0005012476351210416,75.98410297317633
9316214,17.046307476201676,0.0,0.1,0.02,0.0005442168772809514,75.1616271908435
9316215,16.648930697902347,0.0,0.1,0.02,0.0007401698008638192,72.08630937461338
9316216,16.880475293348585,0.0,0.1,0.02,0.0006192159655142634,73.87056451921897
9316494,15.022477979341494,0.0,0.1,0.02,0.002440030619622498,60.15744690730151
9316495,16.247323506775132,0.0,0.1,0.02,0.0010035186817054142,69.04242773353668
9316496,16.36323681825918,0.0,0.1,0.02,0.0009197266374922653,69.91434065234573
9316497,16.361262625606166,0.0,0.1,0.02,0.000921097598997849,69.8994455664176
9316498,16.831684532066976,0.0,0.1,0.02,0.0006430548481683731,73.49280536947151
9316499,16.68728644087517,0.0,0.1,0.02,0.0007187196309879785,72.38039219283843
9316500,15.981653581183952,0.0,0.1,0.02,0.0012230220635829133,67.06430381897792
9316501,16.19909680053724,0.0,0.1,0.02,0.0010404266359049007,68.68124423117243
9316779,16.89683288961641,0.0,0.1,0.02,0.0006114101649478739,73.99742522954097
9316780,16.755255073643188,0.0,0.1,0.02,0.0006821254593681251,72.90296959021235
9316781,16.47012524904374,0.0,0.1,0.02,0.0008482687592661876,70.72313039288136
9316782,16.095310672493127,0.0,0.1,0.02,0.0011241685534917707,67.90711580130736
9316783,15.463851051050828,0.0,0.1,0.02,0.0017838186712132444,63.28998891686798
9316784,15.824846279030348,0.0,0.1,0.02,0.0013726668534080975,65.90999823001849
9317063,16.581244092656185,0.0,0.1,0.02,0.0007794846806338493,71.56877522470532
9317064,16.250989864559298,0.0,0.1,0.02,0.0010007631520184595,69.0699241801611
9317065,16.336444203682575,0.0,0.1,0.02,0.0009384953987041731,69.71232604768937
9317066,16.80545597253409,0.0,0.1,0.02,0.0006562212161343061,73.29012606149044
9317067,16.67826156017568,0.0,0.1,0.02,0.0007237139579063264,72.31114329410244
9317068,16.58603856052779,0.0,0.1,0.02,0.0007766371083781444,71.60537358679075
9317347,16.615933477844845,0.0,0.1,0.02,0.0007590990756853064,71.83378254587785
9317348,16.69349104635607,0.0,0.1,0.02,0.0007153046866029593,72.42801970931012
9317349,16.518069927759772,0.0,0.1,0.02,0.0008179251939000996,71.08739675543211
9317350,16.7070283674053,0.0,0.1,0.02,0.0007079063308189905,72.53198774126238
9317351,16.598165743967726,0.0,0.1,0.02,0.0007694776148042545,71.69798695681247
9317352,16.922215366583718,0.0,0.1,0.02,0.0005994793707071499,74.19448994919213
9317631,17.027975687280843,0.0,0.1,0.02,0.0005520694585698972,75.01836688860635
9317632,17.147837384070918,0.0,0.1,0.02,0.0005025827387189966,75.95750277417895
9317633,17.122172879581747,0.0,0.1,0.02,0.0005128160416779138,75.7559337032387
9317634,17.00033699013866,0.0,0.1,0.02,0.0005641091174183077,74.80262854579402
9317635,16.65090489055536,0.0,0.1,0.02,0.0007390513434198888,72.10143162541945
9317916,15.62714498620719,0.0,0.1,0.02,0.0015854805887889614,64.46867707019528
9317917,16.188661782228458,0.0,0.1,0.02,0.0010485766727004893,68.60321584210531
9317918,16.003369700367095,0.0,0.1,0.02,0.0012035330911349896,67.22493805369261
9317919,16.243093093947245,0.0,0.1,0.02,0.0010067068955777873,69.01070774567458
9396013,15.411957987028773,0.0,0.1,0.02,0.0018514895928013126,62.91764778581677
9396014,15.933426874946063,0.0,0.1,0.02,0.001267353352927945,66.70824527079675
9396015,16.370287506305655,0.0,0.1,0.02,0.0009148458183591946,69.96755011412706
9396016,16.245067286600257,0.0,0.1,0.02,0.0010052178934343704,69.02550951583423
9396017,16.480560267352523,0.0,0.1,0.02,0.0008415767340613589,70.80233361252024
9396018,16.892320449266663,0.0,0.1,0.02,0.0006135542638196741,73.9624184814092
9396019,16.925599696846025,0.0,0.1,0.02,0.000597905124285242,74.22078471642087
