voxel_id,dose_gy,let_kev_um,alpha,beta,sf,bed
10172265,16.779685172584582,0.0,0.1,0.02,0.0006694023844790025,73.09125207079555
10172542,16.528352532091382,0.0,0.1,0.02,0.0008115504519541251,71.16564001710971
10172543,16.549536283218668,0.0,0.1,0.02,0.0007985630346373267,71.3269665211329
10172544,16.531583951754868,0.0,0.1,0.02,0.0008095566917498586,71.19023754253868
10172545,16.528352532091382,0.0,0.1,0.02,0.0008115504519541251,71.16564001710971
10172546,16.561384821984774,0.0,0.1,0.02,0.0007913835409324073,71.41727826635831
10172547,16.577182873672918,0.0,0.1,0.02,0.0007819043590441473,71.53778127911187
10172548,16.638579847279114,0.0,0.1,0.02,0.0007460598214132216,72.00704771413565
10172549,16.70715775347083,0.0,0.1,0.02,0.0007078359647403271,72.53298179334294
10172550,16.800868923711867,0.0,0.1,0.02,0.0006585495293431026,73.2547082420613
10172551,16.806254623151005,0.0,0.1,0.02,0.0006558166195433275,73.29629351478792
10172552,16.806254623151005,0.0,0.1,0.02,0.0006558166195433275,73.29629351478792
10172830,16.580773339965678,0.0,0.1,0.02,0.0007797647978097492,71.56518225022899
10172831,16.561384821984774,0.0,0.1,0.02,0.0007913835409324073,71.41727826635831
10172832,16.561384821984774,0.0,0.1,0.02,0.0007913835409324073,71.41727826635831
10172833,16.580773339965678,0.0,0.1,0.02,0.0007797647978097492,71.56518225022899
10172834,16.638579847279114,0.0,0.1,0.02,0.0007460598214132216,72.00704771413565
10172835,16.706080613583,0.0,0.1,0.02,0.0007084219616943644,72.52470650708976
10172836,16.74306241639843,0.0,0.1,0.02,0.0006885593626656743,72.80909023228116
10172837,16.8123584158487,0.0,0.1,0.02,0.0006527321140732335,73.34343751644042
10172838,16.8227707680977,0.0,0.1,0.02,0.0006475015289186656,73.4238940312902
10172839,16.87411443608417,0.0,0.1,0.02,0.0006222763920905417,73.821262036497
10172840,16.873396342825618,0.0,0.1,0.02,0.0006226227768881859,73.81569717124181
10173117,16.609856116937035,0.0,0.1,0.02,0.0007626342371922775,71.78732016200716
10173118,16.642529360201152,0.0,0.1,0.02,0.0007438072672218627,72.03728606123263
10173119,16.642529360201152,0.0,0.1,0.02,0.0007438072672218627,72.03728606123263
10173120,16.642529360201152,0.0,0.1,0.02,0.0007438072672218627,72.03728606123263
10173121,16.706080613583,0.0,0.1,0.02,0.0007084219616943644,72.52470650708976
10173122,16.74306241639843,0.0,0.1,0.02,0.0006885593626656743,72.80909023228116
10173123,16.801946063599694,0.0,0.1,0.02,0.0006580020988895908,73.26302436842235
10173124,16.8123584158487,0.0,0.1,0.02,0.0006527321140732335,73.34343751644042
10173125,16.873396342825618,0.0,0.1,0.02,0.0006226227768881859,73.81569717124181
10173126,16.961003720368964,0.0,0.1,0.02,0.0005816664897885856,74.49613316084293
10173127,16.996549336667286,0.0,0.1,0.02,0.0005657780351394906,74.77308720742032
10173128,16.788302291687206,0.0,0.1,0.02,0.0006649676893648409,73.15772105910119
10173404,16.655455038855088,0.0,0.1,0.02,0.000736479501390959,72.13629154911976
10173405,16.655455038855088,0.0,0.1,0.02,0.000736479501390959,72.13629154911976
10173406,16.690282561894858,0.0,0.1,0.02,0.00071706870713326,72.40338896107316
10173407,16.690282561894858,0.0,0.1,0.02,0.00071706870713326,72.40338896107316
10173408,16.70715775347083,0.0,0.1,0.02,0.0007078359647403271,72.53298179334294
10173409,16.747370975949742,0.0,0.1,0.02,0.0006862793552624767,72.84225789716652
10173410,16.806254623151005,0.0,0.1,0.02,0.0006558166195433275,73.29629351478792
10173411,16.81594888214146,0.0,0.1,0.02,0.0006509240271385186,73.37117624350037
10173412,16.87411443608417,0.0,0.1,0.02,0.0006222763920905417,73.821262036497
10173413,17.043584445102443,0.0,0.1,0.02,0.0005453766728113945,75.14033859257003
10173414,17.087747180503392,0.0,0.1,0.02,0.0005268488871740464,75.48596792146373
10173415,17.076616734995834,0.0,0.1,0.02,0.000531462214033892,75.3987845577838
10173692,16.701413007402415,0.0,0.1,0.02,0.0007109665116535926,72.48885229616855
10173693,16.690282561894858,0.0,0.1,0.02,0.00071706870713326,72.40338896107316
10173694,16.690282561894858,0.0,0.1,0.02,0.00071706870713326,72.40338896107316
10173695,16.70284919391952,0.0,0.1,0.02,0.0007101826671888973,72.49988343288311
10173696,16.757783328198748,0.0,0.1,0.02,0.0006807983704309798,72.92244374316994
10173697,16.805536529892454,0.0,0.1,0.02,0.0006561803952003778,73.29074814140239
10173698,16.81594888214146,0.0,0.1,0.02,0.0006509240271385186,73.37117624350037
10173699,16.98470079790118,0.0,0.1,0.02,0.0005710285762008491,74.68071303674617
10173700,17.043584445102443,0.0,0.1,0.02,0.0005453766728113945,75.14033859257003
10173701,17.087747180503392,0.0,0.1,0.02,0.0005268488871740464,75.48596792146373
10173702,17.087747180503392,0.0,0.1,0.02,0.0005268488871740464,75.48596792146373
10173703,17.019887367570227,0.0,0.1,0.02,0.0005555677151506802,74.95520056852556
10173980,16.69818158773893,0.0,0.1,0.02,0.0007127331113433227,72.4640352551596
10173981,16.584363806258438,0.0,0.1,0.02,0.0007776306901646522,71.59258837792541
10173982,16.701413007402415,0.0,0.1,0.02,0.0007109665116535926,72.48885229616855
10173983,16.747370975949742,0.0,0.1,0.02,0.0006862793552624767,72.84225789716652
10173984,16.801946063599694,0.0,0.1,0.02,0.0006580020988895908,73.26302436842235
10173985,16.8123584158487,0.0,0.1,0.02,0.0006527321140732335,73.34343751644042
10173986,16.87411443608417,0.0,0.1,0.02,0.0006222763920905417,73.821262036497
10173987,17.019887367570227,0.0,0.1,0.02,0.0005555677151506802,74.95520056852556
10173988,17.05758726364421,0.0,0.1,0.02,0.0005394370881305817,75.24984391501164
10173989,17.04394349173172,0.0,0.1,0.02,0.0005452236152943333,75.14314544160054
10173990,17.019887367570227,0.0,0.1,0.02,0.0005555677151506802,74.95520056852556
10174268,16.53589251130618,0.0,0.1,0.02,0.0008069054377737116,71.22304074040053
10174269,16.496756428715095,0.0,0.1,0.02,0.000831287298821168,70.92535096238566
10174270,16.530147765237764,0.0,0.1,0.02,0.0008104422437635007,71.17930479335678
10174271,16.690282561894858,0.0,0.1,0.02,0.00071706870713326,72.40338896107316
10174272,16.79512417764345,0.0,0.1,0.02,0.0006614763410789168,73.21036340613617
10174273,16.801946063599694,0.0,0.1,0.02,0.0006580020988895908,73.26302436842235
10174274,16.873396342825618,0.0,0.1,0.02,0.0006226227768881859,73.81569717124181
10174275,17.005884549028462,0.0,0.1,0.02,0.0005616730489467471,74.84590640800545
10174276,16.95130946137851,0.0,0.1,0.02,0.0005860714806198936,74.42068795246264
10174277,16.95130946137851,0.0,0.1,0.02,0.0005860714806198936,74.42068795246264
10174556,16.29461317643271,0.0,0.1,0.02,0.0009685119959951576,69.3974968903476
10174557,16.1840268146157,0.0,0.1,0.02,0.001052215686821691,68.5685716018557
10174558,16.200902006191672,0.0,0.1,0.02,0.0010390227023578877,68.69474716903675
10174559,16.274147518563975,0.0,0.1,0.02,0.0009835202791520666,69.24372300976037
10174560,16.33015879273103,0.0,0.1,0.02,0.0009429497131702933,69.66497603189315
10174561,16.49172977590523,0.0,0.1,0.02,0.0008344681370969902,70.88715997620108
10174562,16.745575742803364,0.0,0.1,0.02,0.0006872285014239112,72.82843713439625
10174563,16.920431451260775,0.0,0.1,0.02,0.000600310729044133,74.18063155062373
10174844,16.150276431463755,0.0,0.1,0.02,0.0010790694610327493,68.31656219400249
10174845,16.1840268146157,0.0,0.1,0.02,0.001052215686821691,68.5685716018557
10174846,16.1840268146157,0.0,0.1,0.02,0.001052215686821691,68.5685716018557
10174847,16.1840268146157,0.0,0.1,0.02,0.001052215686821691,68.5685716018557
10174848,16.274147518563975,0.0,0.1,0.02,0.0009835202791520666,69.24372300976037
10174849,16.336262585428724,0.0,0.1,0.02,0.0009386238321633006,69.7109576374444
10174850,16.49172977590523,0.0,0.1,0.02,0.0008344681370969902,70.88715997620108
10175132,16.122270794380228,0.0,0.1,0.02,0.0011018338061017077,68.10779390784535
10175133,16.122270794380228,0.0,0.1,0.02,0.0011018338061017077,68.10779390784535
10175134,16.150276431463755,0.0,0.1,0.02,0.0010790694610327493,68.31656219400249
10175135,16.1840268146157,0.0,0.1,0.02,0.001052215686821691,68.5685716018557
10175136,16.19120774720122,0.0,0.1,0.02,0.0010465827553614582,68.62224940980697
10252903,16.80230511022897,0.0,0.1,0.02,0.0006578197164308709,73.2657965136743
10252904,16.673407370318888,0.0,0.1,0.02,0.0007264136033571353,72.27391003763972
10252905,16.61667800289328,0.0,0.1,0.02,0.0007586670414936775,71.83947557326076
10252906,16.584722852887715,0.0,0.1,0.02,0.0007774175788573044,71.59532927430692
10252907,16.576823827043643,0.0,0.1,0.02,0.0007821186156058069,71.53504146561201
10253189,16.935511409690367,0.0,0.1,0.02,0.0005933167963089434,74.29782075124089
10253190,16.7495252557254,0.0,0.1,0.02,0.000685141993490672,72.858844514162
10253191,16.678074976499474,0.0,0.1,0.02,0.0007238175529056311,72.30971196084707
10253192,16.64791505964029,0.0,0.1,0.02,0.0007407458139495854,72.07853022623988
10253193,16.61667800289328,0.0,0.1,0.02,0.0007586670414936775,71.83947557326076
10253194,16.61667800289328,0.0,0.1,0.02,0.0007586670414936775,71.83947557326076
10253195,16.6238589354788,0.0,0.1,0.02,0.0007545118216548394,71.89439611681847
10253476,16.843954519224987,0.0,0.1,0.02,0.0006369804912534151,73.58771528836895
10253477,16.7495252557254,0.0,0.1,0.02,0.000685141993490672,72.858844514162
10253478,16.678074976499474,0.0,0.1,0.02,0.0007238175529056311,72.30971196084707
10253479,16.63750270739129,0.0,0.1,0.02,0.0007466752565748333,71.99880197508178
10253480,16.59944376468803,0.0,0.1,0.02,0.0007687267044865598,71.70775042409609
10253481,16.636066520874184,0.0,0.1,0.02,0.0007474965726254225,71.98780837826436
10253482,16.646478873123186,0.0,0.1,0.02,0.0007415610513999615,72.0675306477905
10253483,16.6597635984064,0.0,0.1,0.02,0.0007340519003422417,72.16930822936379
10253763,16.80122797034114,0.0,0.1,0.02,0.0006583670053345089,73.25748023261585
10253764,16.678793069758026,0.0,0.1,0.02,0.0007234189288726087,72.3152207225197
10253765,16.673407370318888,0.0,0.1,0.02,0.0007264136033571353,72.27391003763972
10253766,16.59944376468803,0.0,0.1,0.02,0.0007687267044865598,71.70775042409609
10253767,16.636066520874184,0.0,0.1,0.02,0.0007474965726254225,71.98780837826436
